WARNING - Card name: Chevalier de Fleur || Card id: 45037489 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: Dark Paladin || Card id: 98502113 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Dark Paladin || Card id: 98502113 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Drill Warrior || Card id: 3429238 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Drill Warrior || Card id: 3429238 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Elemental HERO Flame Wingman || Card id: 35809262 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Elemental HERO Flame Wingman || Card id: 35809262 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Fleur Synchron || Card id: 19642774 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Liberty at Last! || Card id: 72022087 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: Liberty at Last! || Card id: 72022087 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Chevalier de Fleur || Card id: 45037489 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: Dark Paladin || Card id: 98502113 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Dark Paladin || Card id: 98502113 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Diabellstar the Black Witch || Card id: 72270339 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Drill Warrior || Card id: 3429238 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Drill Warrior || Card id: 3429238 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Elemental HERO Flame Wingman || Card id: 35809262 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Elemental HERO Flame Wingman || Card id: 35809262 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Fleur Synchron || Card id: 19642774 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: House Dragonmaid || Card id: 41232647 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Liberty at Last! || Card id: 72022087 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: Liberty at Last! || Card id: 72022087 || MissingSetName: Yu-Gi-Oh! 5D's Tag Force 5 Promotional Cards 

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Promethean Princess, Bestower of Flames || Card id: 2772337 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

WARNING - Card name: Super Polymerization || Card id: 48130397 || Error: '<' not supported between instances of 'str' and 'NoneType'

